SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,PopMale,PopFemale,PopTotal
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,75-79,1587.514,2457.124,4044.638
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,80-84,754.583,1253.434,2008.017
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,85-89,238.016,480.576,718.592
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,90-94,45.736,120.399,166.135
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1954,1954,95+,3.921,14.091,18.012
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,25-29,23012.057,20999.938,44011.995
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,30-34,20424.446,19157.549,39581.995
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,35-39,17983.873,17180.769,35164.642
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,40-44,16413.555,15529.432,31942.987
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,45-49,14447.841,14311.748,28759.589
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,50-54,12505.33,12481.939,24987.269
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,55-59,9836.091,9895.466,19731.557
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,60-64,7793.093,8395.103,16188.196
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,65-69,5537.019,6483.943,12020.962
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,70-74,3392.141,4577.227,7969.368
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,75-79,1554.221,2421.76,3975.981
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,80-84,727.235,1219.23,1946.465
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,85-89,229.905,453.422,683.327
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,90-94,44.214,115.024,159.238
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1955,1955,95+,3.835,14.181,18.016
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,25-29,23501.623,21338.025,44839.648
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,30-34,20809.666,19449.726,40259.392
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,35-39,18203.728,17383.257,35586.985
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,40-44,16687.073,15787.476,32474.549
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,45-49,14505.569,14316.236,28821.805
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,50-54,12722.806,12800.65,25523.456
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,55-59,9860.389,10001.961,19862.35
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,60-64,7901.433,8555.557,16456.99
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,65-69,5484.913,6458.746,11943.659
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,70-74,3357.581,4535.18,7892.761
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,75-79,1572.125,2471.419,4043.544
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,80-84,699.339,1193.759,1893.098
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,85-89,218.034,422.983,641.017
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,90-94,42.028,107.858,149.886
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1956,1956,95+,3.7,14.028,17.728
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,25-29,24017.214,21725.143,45742.357
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,30-34,21047.281,19590.517,40637.798
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,35-39,18452.358,17548.43,36000.788
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,40-44,16976.639,16150.073,33126.712
